text,predicted_label
Coba main game scron bang,1
GG Bang,0
KOK GAK Asing yah sama squid game yang ada di TV😆 hayo ngaku yang udah pernah nonton😂,1
​ @Kalzz774  hell nah🗿,0
TRENDING 1 BANG GELOOOOOOO 🔥,1
Nama game bg,1
Bang nama aku Jihan aku dari Jakarta😊❤🙏🙋🏻‍♀️,1
gg bang,0
lanjutin peakkkk,0
BANG DROOM UDAH REVIEW GAMENYA BELOM BANG,1
Bang kenapa adegan brutalnya gak disensor aja soalnya gw ngeri liat darah,0
Keratif BG bukan kreatif(mengingatkan),0
w game,1
"W game, support terus",0
Bang main roblox,0
w Game,1
😢,1
gem  judi  onlen😭,1
Astagfirullah windah Tahan Emosinya Istigfar,0
GG bang🎉,0
Gg,1
😊😊,1
Bang tolong kasih tau dong gamenya download dr mana,0
"Beruntung kalian yang punya ayah waras, jadi iri😢",0
DOUBLE W GAMEEE ❤❤❤,1
SMA aja lu bg SMA bapak ituu kan elu yg pilih nyaa bukann bapak ituu 😢,0
Larangan Adalah Perintah 😅,0
Stop judi,1
Huuuu stop judi,1
Ցɑɾɑ ցɑɾɑ տí yadi,1
Bang jangan main HP.,0
s4,0
STOP JUDI TEMAN BAPAK SAYA SUDAH JADI KORBAN DIA MALAH GANTUNG DIRI,0
Kaya orang Indonesia 😂,0
Nooo,0
Ada doksli,0
Bang winda main gem holor😢,0
Iiki,1
Ggggeming bang winda😮,0
Dabel u istri,0
Sedangkan mamaku gak pernah gitu,0
Kabur,0
Judi hanya untuk kesenangan sementara akan menyesal di akhir nya,1
bener bgt,0
yes🎉,1
STOP JUDI ITU BUKAN MEMBERI MU KEKAYAAN TETAPI STRES DAN HUTANG DIMANA MANA,0
mungkin h -1 itu moment satu hari sebelum si yadi nawarin judi,1
Nah curiga kan 😅😅😅 kalo wjaah sudah ketahui penjudi online,1
Game respect😢,1
Nangis gw liat ini bg😢😢😢,0
"Rokok nya besar, orang nya kecil 😅😊🎉❤",1
Nahh kwkwkw marah gak Terima karena judi kalah 😅😅 sadar bro,1
beneran bang rentenir sekejam itu sampe meningsoy,0
"Yahhhh judi,sebenarnya ayahku penjudi juga hasilnya di cerai in bunda aku",1
bang dulu gw inget duit jajan gw SD tu 1500 anjir wkwkwkw kebeli permen sama apa gitu lupa,0
Bang aku mau tidur dulu ya,0
yadi harmoko resmi menjadi nama terharam di dunia per game an,1
Pas  banget langsung ketemu,0
what a game??!,1
Bang gue mau uang jajan 2 ribu,0
Bg gue bocil,0
1:27:35 desahan kesedihan 🗿🗿,0
Bang mantap aku udah paket lengkap 👏🏻,0
Selamat malamjuga bang Winda maaf bang telat bang ya 😢😊,0
telat 9 bulan gk ngaruh w,0
"8:29 jaman bang windah smp taun berapaaa 4000, disini taun 2014 smp 4 ribuu😭😞",0
"pertama kali nonton bg windah, ternyata bg windah seasik itu 😭😭",0
lanjutkan tata,0
​ @dhinii.s 😭😭,0
55:55,1
live daging 2026,0
"(TwT)
/   I.   L
   I. I",1
aku sayang bang windah❤,0
yadi goblokkk,0
Suatu pelajaran bagi orang yang punya pikiran waras sesulit apapun tidak pernah pinjol apalagi bermain judi yang bisa menghancurkan kita kapan aja,0
2:07:05 windah mengaku depresi 🙃😔,0
🌙,1
Gw menonton sambil nangis bg tanggung jawab lu,0
45:28,1
Kecil banget uang jajan kalian gua 50.000 ribu,0
kaga ada yg nanya mpruy 😹,0
kayak duit bapaknya halal aja dek 😂,0
gk boleh judi,1
Njay sampe masuk TV🤭🤭,0
50.000.000,0
1:01:10  kagettt bngtt😂,0
Wah sue,0
Mon4D,1
nih stream mengalahkan views stream perjalanan epik lapu lapu jir,1
Ayah ku gak waras lagih haduh,0
gg,1
nama game,1
Tragedi stiker 😂,0
Wekkewekkewek😭,0
Tayang Selanjutnya : Hitzeed CH,0
1:32:00,1
22:00,1
aslinya gak hilang,0
1:14:26 Cocok Bang Windah jadi aktor😂,0
Njirrr,1
1:51:16 bang itu tv nya drakor Squid Game 😭🤣,0
1.37.39: Bang Windah Bernapas 😯,0
ini semua gara² Yadi Harmoko 😢😢,0
WHDVLS   DD DVF,1
HWA,1
Bener tu,0
"""JANGAN BAWEL!🤬😡""",1
Jangan toxic woi,0
Bang aku takut kaya gitu ayahku😢😭😭😭😭😭,0
Yaadii kaamprett,0
"Berawal dari boleh yad
Sampai apakah ini rumah kaila",0
2:15:52 sad moment 🥺,0
Yadi nama bapak ku tapi dia gk main jud*,1
yadi yadi,1
​ @ffjelekmlbagus  🗿,1
Ganteng ganteng basudara 😂,0
BANG SAPA AKU,0
Paradox,1
La KD dan Raul Gonzales di kampung asamnya b c a di asam tu sesudah makan mo😊,0
ׅ꯱υׁׅ⁠ꩇׁׅ⁠֪݊ ℘ɑׁׅ⁠² ᧁׁ⁠υׁׅ⁠ɑׁׅ ᥣׁׅ֪⁠ɑׁׅ⁠ᧁׁ⁠ꪱׁׁׁׅׅׅ ꩇׁׅ⁠֪݊ ɑׁׅ⁠ƙׁׅ⁠ɑׁׅ⁠݊ꪀ ᝯׁ֒⁠ᨵׁׅׅ⁠ᨮׁׅ֮ ɑׁׅ⁠℘ɑׁׅ ᥣׁׅ֪⁠ɑׁׅ⁠ᧁׁ⁠ꪱׁׁׁׅׅׅ ꪱׁׁׁׅׅׅ⁠݊ꪀժׁׅ⁠݊ᨵׁׅׅ⁠ꩇׁׅ⁠֪݊ ꪱׁׁׁׅׅׅ⁠ꫀׁׅ⁠ܻ݊ 1:39:41,0
bang windah sehat selalu,0
Parah😅,0
2:11:52 sumph gw takut darah bg 🗿,0
Never fail,0
Live game populer,0
Siapa disini nonton windah sambil ngemil atau makan😊,0
"bg,sebenarnya org yg diambil gnjal nya itu cuman dikit peluang hidup,paling cuman 1- setengah hari",0
Baru sadar udah sampe masuk most popular stream bang windows,0
Gw kayak takut jirrr 😭😭,0
😮,1
Sama dipenser nya,0
Kayaknya ada sih bang😢,0
greget gila liat maennya,0
Tapi sama aja ngutang mana pake KTP mamak gua lagi,0
Learn kocak,1
bang aku takut,0
Yang nuntun 2026,0
Gue yang SMP uang jajan cuma 10 rb jirr🗿🗿,0
Keren bang Windah sangat menjiwai,0
😂😂😂😂,0
Buset ngalahin livenya yg akhir perjalanan lapu lapu😂🎉,0
Bang mungkin pencet (BACK)  itu mungkin,0
"stop lah jud1 dan pinj0l karena kedua itu bisa merubah nasib dan hidup mu. berubah dari sekrng, capai cita cita mu dan tujuan hidup mu.",0
Beni gila,0
Siapa nonton bulan puasa,0
ngakak Cok pas bilang wekewekewek,1
""" secret  of memek""😭",0
Kayak ikan tongkol 😭,0
Halo,0
Kenapa yah bapak nya kencanduan judi gak warasin bapak,0
Before:😁😁 after:🥀🥀,1
Ihh terharu banget sama game nya😢😢,0
Nama nya apa bang,0
"gw pernah judi, karena di ajak temen juga, hasil withdraw dia di kasih ke gw trus gw mainin, pas itu sih kalah, tpi karna gw penasaran, gw isi lagi sekitar 500k, tapi kalah dan gw stop sampe sekarang, jujur gw gabisa nyuruh temen gw stop karna setiap mereka gw suruh berhenti(bukan 1/2x tapi berkali2) mereka marah, dan gimana lagi?",0
P,1
Kok bisa foto ktp,0
"alasan gaboleh main judi
Jangan berjudi atau
Kejadian ini terjadi",0
😢😢😢😢,0
"Boleh yad menuju ke sengsaraan
Enggaklah! Menuju ke jalan baik",1
Emang game kamu,1
rungkad,1
Kata bang windah gak kayak fnaf tuh secret of mem*k🤣😂🤣,1
Agnes?,0
Gue pengen tendang mas Beni,0
Gamenya seru bettttttttttttttttt❤❤❤❤❤❤❤❤❤❤,1
😢😢😢😢😢,1
aku kecanduan azan maghrib plisssssss lagi puasa,0
Bg windah mendalami peran sebagai misua nya jir🤣,0
56:10 Windah jadi game,1
takut bgt kalau udah berurusan sama rentenir😢,0
😢😢😮,1
18:37 Simulator Judjud kah,0
Udah dilihat beberapa kali juga tetap seruu,0
Bang sensor kalau nggak disensor nanti kamu kena dolar merah,0
kabur 😢😢😢😢,0
Mirip banget kejadian nya sama dunia nyata,0
serem banget😭😭😭😭😭takut banget😭😭😭😭😭😭,0
"Singkat padat,bobastick fick Ais,ngakak njirrrrr😂",0
Gg,1
1:29:34,1
🇯  🇦 🇳 🇬 🇦 🇳 🇳 🇬 🇪  🇯  🇺 🇩 🇴 🇱  🇾 🇦  🇬 🇺 🇸 🇾 😊😊,1
Kabur,0
akibat judi,0
1:36:16,1
bertahan,0
Творческая радость,1
Itu.  Karna.  Bangwinda.   Ketagihan 😂😂😂,0
Ayo.  Adegan.   Lagi 😂😂😂🎉,0
😢😢😢 sedih banget game nya,0
"Sepanjang nonton pas istrinya milih bertahan hati gw sakit bgt anjir😭 ga berhenti nangis, pasti ada yg pernah ngalamin",0
Bang  aku udah subscribe 😊😊😊😊😊❤,0
1:14:23,1
57:56,1
Tampar,0
Tampar,0
Untung papa gw main cil,0
😢😮,1
𝙰𝚍𝚊 𝚋𝚊𝚗𝚐 𝚝𝚎𝚖𝚎𝚗 𝚐𝚠 𝚙𝚎𝚛𝚗𝚊𝚑,1
bg yg abang tanya pakaian adat apa itu pakaian adat jawa timur bg,0
Dari game ini bang kita jadi tahu kalau judi bisa membuat  kita menoigsoy itu pesan nya,1
Bang windah,0
bang brando aku sedih,0
menyantuh hati banget 😢😢,0
Lanjut lagi bang,0
Knp harus bank-ke🗿,0
plssssssss lanjut bangggggggg,0
lanjut banggggggggg,0
Bang windah ❤,0
1:28 Jaya Jaya Jaya,1
geloo mau rewatch dan kaget bgt sekarang viewernya 9jt+,0
Halo bang ketemu lagi😊,0
41:53 gepeng bgt mukanya,0
Jadi sebenarnya link itu punyanya yadi,0
"2:11:51 setelah nonton ke dua kali liat muka bang Winda yg ini ngakak juga, dah pasrah gak dapet adsens😂",0
relate kisah keluarga gw :) gw punya ayah model begini akhirnya anak istri jadi jadi korban hutang untung nya emak gw nemutuskan cerai klo ga cerai beda cerita😊,0
Mirip bang Winda muka nya 56:11,0
Gak gw tau apa yang bakal terjadi,0
kisah perjuangan sang ayah yang menjadi tulanh punggung keluarga untuk menafkahi istri dan anak,0
Telat 7 bulan njirlah,0
Gasss dikit lagi 10Jt viewss,0
Parah sih ini game😢,0
aduh gw nonton ini pas lagi demam lagi,0
"wtf game apa ini😭 satu jam nonton penuh rasa ""merinding""",0
Bejir. Telat. 7. Bulan,0
w mama,1
S,1
Nadia😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,0
Pak ila mau pergi ya😊,0
"grafik:0/10
story:1000/10",1
apa dajal,0
"semangat bang widah wisidarah😄
terimakasih sudah buat aku terhibur:-)",0
Kalo nolak dari awal gimana bg,0
Bang itu nama kaila adek sepupu gua bang😅😅😅😅😅,0
1:05:18,1
57:07,1
54:34,1
kakak jangan kakak jangan main durian kakak soalnya itu kakak soalnya itu tuh uang haram kah orang uang haram kenapa tadi kakak nggak milih nggak aja biarkan main judi,1
Andai menolak arahan Yadi harmoko,0
Aku cuma 2000😅😅😅,0
56:16 W GANTENG GANTENG BASUDARA 😂,0
helo,0
Billysamuel itu adalah ayah saya😤,0
H.I.N.F = Horor Indonesia Never Fail,1
NEVER FAILL!!,0
9.2 view coy,1
bg di islam kalo yg ngutang meninggal harus tetep ditagih ke keluargannya kalo gk meninggalnya ga dapet hidayah dan ga husnul khatimah,0
1:36:35 bang windah ternyata elitis jg loh ya🤭✌️,0
Buat contoh ni game!!,1
Drained parah nontonnya,0
Fairus,0
Widih,0
Pliss jangan judi guys gak baik semua lu yang punya bakalan habis,1
Bang.     Winda.   Sayauda.    👍,0
Bangwindasaya.    Uda👍,0
Nonton basudara😂,0
🎉,1
🎉🎉,1
❤,1
06.46,1
Nisa😂😂😂😂😂🎉🎉🎉🎉100000000000000,1
1:00:57,1
L windah,0
Lagian istri nya sih gk ngasi jatah ke mas beni😊,0
Windah menjiwai banget perannya😂,0
"INTIHYA STOP JUDIII!!!!!

Akbiat nya akan terjadi di hari nanti",0
Btew salfok nama yadi yadi kan  ayah ku😂,0
"Kenapa ya,susah banget ingatin org yg udah kecanduan Jud*,aku pernah ngerasain meski gak separah game ini tapi hampir seluruhnya hilang😢",0
"Keren, mendalami peran nya bang 😂",0
1:36:36 windah elitis loh ya,0
"yaalah nonton aja kena dampak kecanduan cok, alhamdulillah bapak ku ngga main beginian",0
Video ini mwnglah kan perjalanan lalu lapu,0
h,1
semangat yang bg win,0
Bang windah malah ikutan,0
"Aku bersyukur ayahku tidak melakukan pinjol dan judjud, sehat sehat ayah",1
anak nya paila jir😭,0
beni knp g jual diri aj,0
bang,0
Kena banget di hati😭😭😭 tuhan sayang Gabriel,0
35:33 Dokternya Nyawit Jirrr,0
Mau nangis 😢,0
Aku uang bkel 500 perak,0
berkali kali aku nonton video ini karena cerita gamenya bagus bgt,0
Main judi itu haram hukum ny dosa apa lg pinjol dosa bsr jdi jauhi itu oky,0
2026👋,1
"yg nyuruh end apaan sih, anak buah bandar judjud kah?",0
game stress,0
"Kata-kata yang sering bang Windah  pakai 
Gua bilek: double you double you 🗿",1
Kabur,0
Astaghfirullah main tampar istri dia,0
"2:16:38 karena emang otak kita lebih reaktif ke konflik, kontradiksi sama why? kok bisa? di banding grapik bang ibarat grapik mah belakangan yg penting storyline nya hehehh",0
setan juga bakal sujud sama benii 😂,0
46:19 bombastisatiak,0
Bg joykreatif gw jga main game elu serem bet jirrrrrr,1
gaji papa ku aja 7 JT,0
Salfok tv nyala pas di menit 1:50:30,0
P artinya ping keknya,0
Hi bang,0
"1:14:27, terlalu mendalami peran😂",0
Sama bang,0
GG jadi video live terpopuler di channel windah basudara,1
W,1
Lah gw sekarang masih jajan 2k ini udh 2026 loh tapi gw jajan masih 2k😢😢😢,0
"walaupun papaku perokok, papaku gapernah ada niat buat bermain judi begini🥹💞",0
lulapun aku bocil aku tetap nonton soal nya kangen windah basudara😊😊😊,0
tidak 3:27,0
horor bgt gamenya,0
Gaji gw lebih dikit dari yadi bang,0
bergerak bangk,0
temen gua ngujudi sampai jadi miskin,0
bang judi itu ga ada gunanya😊😊😊😊 bukanya kaya malah rungkad,1
bedahal tadi tulisan nya ending nya ada 6😂😂,0
iri liat orang orang yang orang tuanya gak kecanduan judi😢,0
TV ny agak susah bg,0
"Kalo bang windah udah nikah sama kak Agnes, jangan begitu ya bang🙏",0
Bang kapan main gake hororr😊,0
Ngakak bgt pas rentenir nya kesandung🤣,0
2:00:08,1
"demi Allah, amit-amit banget kalo misalnya suami aku nanti kayak begitu, amit-amit banget ya Allah, jauhin pls cowok yang begini 😢",0
Gg jadi top 1 game populer di channel windah basudara🎉🎉🎉,1
"Yang penasaran, silakan coba 😈💀ṄäṡäĠäṁïṅġ 👻🎃",1
Banyak yang main karena asik 😈💀ṄäṡäĠäṁïṅġ 👻🎃,1
seru banget bang aku sampai nangis nonton nya,0
Bang di apain anaknya,0
Helo bang,0
Ihh takotnyee 😭😭,0
AWAS AJA YANG MAIN JU4I,1
19:31 terusin bang biar dapat endingnya,0
Semuanya gara gara Yadi,0
Tampar,0
Aku udah follow bang windah basudara😊,0
Semuanya gara gara yadii🥲,0
"bapa aku sama persis kaya game nya, apalgi sekarang jadi sering marah marah😢😢",0
sumpah aku sampai nangis loh terharu banget hasil Ahir nya Loh bang,0
bang kamu sedih 😭,0
Halo bang,0
this is someone's life btw😢🥀💔,1
"Bersyukur punya ayah gak megang hp dan hidup cari nafkah dengan berkebun 😢 kadang sbagai anak kesel karna gak bisa dptin apa yg di mau, tapi dengan sabar dan terus bersyukur aku mengerti keadaan keluarga",0
gg,1
Uang nya67😂,0
GK kerasa dah 6 bulan😢😢,0
nonton ke 3 kali nya 😮,0
kesel banget sumpah sama beni itu,0
Mana di dalami banget pula perannya asem bg windah 🤣,0
apalagi waktu jadi rentenir,0
Kapan yah game baru,0
kpn kek,1
Bang coba main saya ditawarin main judi yang pertama,1
b,1
what a game!👏🏻,1
Aman aku 12thn,0
"Siapa yang nonton 2026 
Dan selamat untuk Windah, karena vidio pikabu stop nya vidio populernya di peringkat pertama",1
game of the year of 2025,1
9 juta vuews dan menyangi video mlbb !!,1
Bang windah udah saskrep,0
Bang nama game nya apa,0
wahh sesek banget gw 😭,0
Candu bet ke ketawa hahahaha nya bang windahhh 😹😭😭🗿🗿🎉,1
Gelo jadi view paling rame,0
Sumpah gw sampe menangis bang,0
wih mantap bang sampai 8 juta views coo,0
9 skrg bang,0
Dr 2026 hadirr 😮🎉🎉🎉❤❤,1
anjay bapak gw tuh,0
Sof,0
Gegege windah 😂🎉🎉,1
56:23 GANTENG GANTENG BASUDARA😭😭😭,0
Dis penser nya sama kaya punya gw dipompa sama warna yang sama,0
1:24:27 Bang masih mending tanda tangan abang daripada tanda tangan billy samuel,0
56:06,1
"Wih udh top 1 views terbanyak di bang windah, mana hanya beberapa bulan aja",0
KaLo saya kasih istri saya itu 100000,0
"W bang W
indah",0
bro sudah menjadi live paling banyak ditonton di channel Windah Basudara😮,0
beni BKP🤓,0
Om gua harus nonton ini😁,0
Aku umur 10 aku lihat pov kaka,1
Heh ni ortu nya mn dah,0
GUA PAS SD DUA REBU,0
56:08 awowkaowow ganteng ganteng basudara 🗿,0
"W For Nadia Dan Kaila
L for Beni",0
W developer dan Bang Windah. Game doang bisa nusuk hati😭😭😭😭😭😭😭😭😭,0
bang sekali kali main assasin creed mirage bang👍,0
bang aku nangis,0
Beda bnget sma kak miauaug,0
Langsung bombastic syde eye🙄🤨,0
STOP JUDI YA GESS 🫡,1
mau nangis sumpa.karna ga kebayang klo diposisi itu😔😿,0
"Nama bank nya kocak njir
Bank-ke😂😂",0
"Anj kenapa nama gww,wkwkwkw",0
W windah,0
aku SMA,0
Bang aku pernah gak  di kasih papa uang jajan di kantin sekolah 🏫 😢,0
Bang wiindah Bilang astaghfirullah kan Abang katolik 😅,0
Iya weh,0
bang windah sangat memperani bgt,0
12:05 lebih baik duit halal dari pada duit haram bg 🤓,0
😁😁😆😅🤣🤣🤣🤣,1
Jujur aku nangis ☹️,0
Kabur,0
"kaio



















kaloak",0
1:38:13 batrenya lowbat😹,0
Mana nama bapak aku beni lagi😔😔,0
nama game ny apa,1
"gg coo, 6bulan dapet 8jt lebih view nya",0
Lebih horor ya gila di banding yg ada hantu ny😢,0
sumpah bikin game horor gimana sihhhh gw mau di notif bang windah bang windah itu soalnya idola gw,1
😂😂,1
SaiQiLLa,1
yadi duta wkwkwkwkwkwkw,1
semua gara gara yadi😂,0
Bang aku fans nya aku mau tau nama game nya,0
2025,1
"that ""ganteng"" Basudara😭",0
aku jugak sangu 4 ribu bang,0
Jirr ternyata 2 jam oiii,0
di tengah tengah video dah gelisah bgt mo nangis 😢,0
"makasih bang windah, karena game yang abang mainkan saya berhenti main judi sepenuhnya, sehat selalu bang🎉",0
Janji bang😊,0
Pengen nangis bang😢,0
Kabur bang,0
"ayah ku udh kecanduan dan dirumah sering marah""sedihh bangettt aslii,dr awal iseng malah keterusan😢",0
Mendalami bgt lu bg😂,0
bang ayah ku udah gak waras 😢😢,0
"Bang aku tau game ini dari dadylocky , pas udah tau game nya aku langsung liat video abang",1
Buat bocil jangan naton,1
Halo bng,0
Bentak bang kasian,0
Yuk Bang Linda aku gak nonton😅👍,0
Bapak aku dikasih duit gopek,0
kenapa gambar bang  winda kayak  anak kecil  kak,0
Siyapa yang uang jajanya di sekolah cuma lima ribu atau sepulu ribu,0
Damn hampir jadi top 1 live yang paling banyak viewer nya. Pasti windah sayang banget sama live ini,0
"Bang windah, bang pikabu, thankyou,  selesai nonton ini, dan gua bakal inget terus scene dimana di beni nolak pinjol, dan itu adalah moment gua skrg, kemarim gua nonton ini, dan hari ini hari gua berhenti judi, gua jujur ke nyokap bokap, gua jujur ke istri gua, gua peluk istri gua, sambil nangis, dan gua bilang gua nyesel, wlpn gua belum terlarut larut, tapi gua rasa setelah nonton ini, gua bisa stop, thankyou bang, BTW GUA KOMENT PAKE HP BINI GUA DAN HP GUAPUN JADI KORBAN KESALAHAN GUA MAIN JUDI.",0
God bless you bro semoga sehat selalu bro,0
"Bapak gw juga manggil ibu dek bang, dek gk slamanya panggilan buat adek bagi sebagian org",0
nooo,0
jangan bang,0
Hahahaha lucu bang asik,0
enak bgt,0
Apasih bukannya mau berhenti malah lanjut ege,0
gg bang windah:thanksdoc::thanksdoc::thanksdoc::thanksdoc::thanksdoc::thanksdoc::text-yellow-goal::text-yellow-goal::text-yellow-goal::finger-red-number-one::yt:,1
Kasih aja windah lu,0
Abang saya Malaysians hahahahaha😂😂😂😂😂❤❤❤❤❤,0
Abang saya Malaysiala bang😂😂😂,0
tag temen kalian yang main judi suruh nonton ini video biar tobat,1
BAitu  qo,0
Ga kuat bg,0
bang bapak aku juga gitu dulu bang😅😊,0
super hentai gak tuh,1
Jadi gamer bang😎😎😎😎😎 2:01:31,1
R.,1
Ali tadi Bang Winda Ali tadi belum bales akutolol,1
Ngapain malah niruin bangg😭😭🗿,0
bang.windah bikin kita ketawa😁,0
GUA KAGET PAS BANG WINDAH NGOMONG “bangs*t kapan bayar utangnya”😭😭,0
1:26:56 es kepal milo,0
2:14:11 dark banget😢,0
😢😢😢😢😢,1
gila keren bangett bangggg🎉🎉,0
1:40:16,1
Malah kecanduan lu bang😅😅,0
"rewatch ke 3×, seruu bat dahh asli",0
rewatch ke 4×,0
R,1
1:33:37 wkwk,0
Kalo kak regi sensor semuanya,0
absolute cinema,1
w windah,0
51:47 lah ini mah my kisah gw bg (untuk pelakunya dh meninggal😂),0
38:22 W gambar,0
deep kali bg🔥,1
Aso bg,0
bang seru bang gw suka kontet lu sampe di nonton kakak gw anjir,0
Super hentai😭,1
🎉🎉,1
Enggak,0
😂,1
dubbing nya terlalu di lebih lebihkan,0
bang bahas dong game game buatan Indonesia dong.,1
W windah,0
W Joykeratif,1
Gg,1
gua komentar pling akhir,0
YA,0
xxxxxxxxxxx,1
p adu aku 1000 uang nya,0
Bang ini game namanya apa gua lupa,0
😂,1
bang winda mendalami peran bangt anjr😭😭😭😭,0
🎉,1
Ending itu kaya tidak seram aja sih tapii Bu Nadia yah lumayan ya,0
"Makasih bang udah puji nama ku, nama ku kailan soalnya",0
Honor paling serem adalah kehidupan yang ekonomi belum mapan 😢,0
Jangan sensor konbrutnya aku suka konten brutal,0
😮😮😮😢,0
Bank-ke?,0
-_- kok  serem,1
?,1
kalau. aku seriBu,0
Bang aku boleh nonton gak❤❤❤❤,0
Btw bang windah menghayati banget 😂,0
Huhu udah gak kerasa Lima bulan lalu 😢,0
KESEL BANGET SAMA WINDAH,0
1:14:24,1
Semoga ada game menceritakan tentang kehidupan koruptor 😂😂😂 fuck pemerintah konoha,1
"Sumpah pas part Nadia sm Kaila gue nangiiss, sakit bgt hati gw:(",0
"""El pinjol' kah bang🗿",0
Bang windah sangat mendarani perang,1
Menghayati seharus nya 😂,0
